,ID,source.x,target.x,ligand.x,receptor.x,prob.x,pval.x,interaction_name.x,interaction_name_2.x,pathway_name.x,annotation.x,evidence.x,source.y,target.y,ligand.y,receptor.y,prob.y,pval.y,interaction_name.y,interaction_name_2.y,pathway_name.y,annotation.y,evidence.y,abslogPdif,INTastX,INTastY,INT,ID (source_target_ligand_receptor)
657,NA,L5IT,AST,Col6a1,Sdc4,0.016928862,0.0,COL6A1_SDC4,Col6a1  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.771372222,L5IT_AST,NA_NA,L5IT_AST_NA_NA,L5IT_AST_COL6A1_SDC4
820,NA,L5PT,AST,Col6a1,Sdc4,0.022981939,0.0,COL6A1_SDC4,Col6a1  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.638613325,L5PT_AST,NA_NA,L5PT_AST_NA_NA,L5PT_AST_COL6A1_SDC4
149,AST_L5PT_SEMA6D_PLXNA1,AST,L5PT,Sema6d,Plxna1,0.0466141855993461,0.0,SEMA6D_PLXNA1,Sema6d  - Plxna1,SEMA6,Cell-Cell Contact,PMID: 27533782,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.33148189897504,AST_L5PT,NA_NA,AST_L5PT_NA_NA,NA
229,AST_Pvalb_SEMA6D_PLXNA1,AST,Pvalb,Sema6d,Plxna1,0.048647852134987,0.0,SEMA6D_PLXNA1,Sema6d  - Plxna1,SEMA6,Cell-Cell Contact,PMID: 27533782,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.31293632963026,AST_Pvalb,NA_NA,AST_Pvalb_NA_NA,NA
218,AST_L6IT_SEMA6D_PLXNA1,AST,L6IT,Sema6d,Plxna1,0.0487892215274737,0.0,SEMA6D_PLXNA1,Sema6d  - Plxna1,SEMA6,Cell-Cell Contact,PMID: 27533782,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.31167611136139,AST_L6IT,NA_NA,AST_L6IT_NA_NA,NA
1092,NA,L6CTb,AST,Col6a1,Sdc4,0.049208534,0.0,COL6A1_SDC4,Col6a1  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.307959574,L6CTb_AST,NA_NA,L6CTb_AST_NA_NA,L6CTb_AST_COL6A1_SDC4
245,AST_Sst_SEMA6D_PLXNA1,AST,Sst,Sema6d,Plxna1,0.0500068002424158,0.0,SEMA6D_PLXNA1,Sema6d  - Plxna1,SEMA6,Cell-Cell Contact,PMID: 27533782,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.30097093352512,AST_Sst,NA_NA,AST_Sst_NA_NA,NA
1040,NA,L6CTa,AST,Col6a1,Sdc4,0.055111871,0.0,COL6A1_SDC4,Col6a1  - Sdc4,COLLAGEN,ECM-Receptor,KEGG: mmu04512,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.258754846,L6CTa_AST,NA_NA,L6CTa_AST_NA_NA,L6CTa_AST_COL6A1_SDC4
262,INH_AST_PTPRM_PTPRM,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,INH,AST,Ptprm,Ptprm,0.0562910645756736,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,1.24956053789214,NA_NA,INH_AST,NA_NA_INH_AST,NA
15,AST_INH_PTPRM_PTPRM,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,AST,INH,Ptprm,Ptprm,0.0562910645756736,0.0,PTPRM_PTPRM,Ptprm  - Ptprm,PTPRM,Cell-Cell Contact,KEGG: mmu04514,1.24956053789214,NA_NA,AST_INH,NA_NA_AST_INH,NA
197,AST_L6CTb_SEMA6A_PLXNA4,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,AST,L6CTb,Sema6a,Plxna4,0.0620971834165519,0.0,SEMA6A_PLXNA4,Sema6a  - Plxna4,SEMA6,Cell-Cell Contact,PMID: 27533782,1.20692809796175,NA_NA,AST_L6CTb,NA_NA_AST_L6CTb,NA
244,AST_Sst_SEMA6A_PLXNA4,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,AST,Sst,Sema6a,Plxna4,0.0635501628274137,0.0,SEMA6A_PLXNA4,Sema6a  - Plxna4,SEMA6,Cell-Cell Contact,PMID: 27533782,1.19688333236479,NA_NA,AST_Sst,NA_NA_AST_Sst,NA
34,AST_L2/3_SEMA6A_PLXNA4,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,AST,L2/3,Sema6a,Plxna4,0.0641865751573778,0.0,SEMA6A_PLXNA4,Sema6a  - Plxna4,SEMA6,Cell-Cell Contact,PMID: 27533782,1.19255579661566,NA_NA,AST_L2/3,NA_NA_AST_L2/3,NA
